RKY,DOA,TOA,LOCAT,TYPE,ACTION,NUV,NOI,PED,BIKE,MC,MOPED,TRAIN,TRUCK,BUS,FID
B2-001236,2012/01/05 00:00:00+00,1116,S 56 at CALVERT,INJURY,RIGHT ANGLE,2,3,NO,NO,NO,NO,NO,NO,NO,1
B2-001238,2012/01/05 00:00:00+00,1123,"S 48,HIGH to SHERMAN",NON-INJ,HEAD ON,2,0,NO,NO,NO,NO,NO,YES,NO,2
B2-001243,2012/01/05 00:00:00+00,1155,N 29 at Q,INJURY,RIGHT ANGLE,2,1,NO,NO,NO,NO,NO,NO,NO,3
B2-001253,2012/01/05 00:00:00+00,1228,"S 70,PIONEERS to STACY",NON-INJ,REAR END,2,1,NO,NO,NO,NO,NO,NO,NO,4
B2-001262,2012/01/05 00:00:00+00,1250,"O,12 to 13",NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,5
B2-001268,2012/01/05 00:00:00+00,1320,S 17 at L,NON-INJ,TURNING,2,0,NO,NO,NO,NO,NO,NO,NO,6
B2-001269,2012/01/04 00:00:00+00,9999,2400 W ADAMS at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,7
B2-001275,2012/01/05 00:00:00+00,1338,N 1 at ADAMS,INJURY,OTHER,1,1,YES,NO,NO,NO,NO,NO,NO,8
B2-001286,2012/01/06 00:00:00+00,1429,MEMORIAL at A,INJURY,TURNING,2,8,NO,NO,NO,NO,NO,NO,NO,9
B2-001294,2012/01/05 00:00:00+00,1450,N 11 at SAUNDERS,NON-INJ,REAR END,2,0,NO,NO,NO,NO,NO,NO,NO,10
B2-001296,2012/01/05 00:00:00+00,1457,S 20 at A,INJURY,RIGHT ANGLE,2,2,NO,NO,NO,NO,NO,NO,NO,11
B2-001300,2012/01/05 00:00:00+00,9999,"IDYLWILD,HOLDREGE to STARR",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,12
B2-001316,2012/01/05 00:00:00+00,1608,N 48 at FREMONT,INJURY,OTHER,1,1,NO,YES,NO,NO,NO,NO,NO,13
B2-001330,2012/01/05 00:00:00+00,1642,"N 27,FAIRFIELD to KNOX",INJURY,REAR END,2,1,NO,NO,YES,NO,NO,NO,NO,14
B2-001340,2012/01/05 00:00:00+00,1730,S 19 at N,INJURY,RIGHT ANGLE,3,1,NO,NO,NO,NO,NO,YES,NO,15
B2-001356,2012/01/05 00:00:00+00,1823,S 9 at F,INJURY,OTHER,1,1,NO,YES,NO,NO,NO,NO,NO,16
B2-001398,2012/01/05 00:00:00+00,9999,"G,S 8 to S 9",NON-INJ H&R,PARKED,2,0,NO,NO,NO,NO,NO,NO,NO,17
B2-001410,2012/01/05 00:00:00+00,2215,5540 S 56 at -,NON-INJ H&R,,2,0,NO,NO,NO,NO,NO,NO,NO,18
